nsites,volume,space_group,elastic_anisotropy,K_VRH
12,194.419802449,124,0.0306879170543,194.268884359
5,61.9873198912,164,0.266909662868,175.449906754
2,25.9525385382,221,0.756489175202,295.077544987
4,76.7214332896,63,2.376805036,49.1306700392
12,160.300999362,62,0.196930245181,256.768080753
5,51.5749593941,221,0.420935745679,234.454509647
16,580.176940096,122,0.629264291238,36.2332855036
4,58.2583860619,225,0.174539880541,346.322761289
4,80.0549671203,194,0.591711771891,160.280885962
12,228.873768531,216,0.109312939247,131.974860422
2,73.9186497101,194,0.70048873511,8.73558120041
2,40.5233075296,194,0.34176884709,13.8322947315
16,261.069439707,216,5.04055917159,65.6266771853
12,256.696396269,216,0.159063263592,80.6590789768
12,256.79892115,216,0.0963446407146,88.6931427228
4,43.6855315409,225,1.1120580598,211.575063659
4,59.5354764493,221,0.295113964684,260.289475347
22,326.483638737,71,0.336648458071,153.481403783
5,53.7375443256,221,0.339484337372,213.076984204
4,61.7569748925,221,0.458202190726,219.049911869
5,55.3634485465,221,0.262171349028,214.478806441
5,52.1948648398,221,0.393739876369,216.753843035
12,247.603783177,225,0.000744156219336,54.4295521673
2,45.0084012637,194,0.0207887558064,107.972498567
32,523.464625553,225,1.22967342556,210.312118598
24,350.280230942,227,0.328693287671,94.1478259192
28,347.533629375,15,0.928,126.318
2,63.5912480923,166,2.74034051221,33.1623220471
8,137.439746473,62,0.422889871649,152.654742356
5,100.904911198,164,0.832850132306,76.9639228911
12,195.309705793,62,0.113005764126,192.145511691
12,195.753369045,62,0.220833926011,169.34783933
48,1099.83733562,70,0.176559069713,96.0166326713
12,186.026878245,62,0.171529606117,214.952793253
12,179.628509567,62,0.276074302505,221.400699086
10,204.806149302,71,1.80993190042,84.1434419505
5,69.4824226897,164,0.0483584855927,130.382765916
2,36.1630454135,194,0.239573792239,87.5403579133
4,77.5244588068,194,0.834197053682,76.5049886904
5,117.542544414,221,0.0736535531309,82.3694352922
8,236.847682052,225,1.85059495524,50.1333715597
8,128.50943206,227,1.49264603197,49.7943883705
10,174.766316674,127,0.260849780683,101.515756355
12,196.804433105,63,0.309202206221,131.919118005
8,161.96863758,216,0.814109160454,68.253065272
9,115.022626485,180,0.04819933347,174.498090186
5,69.2658713493,221,0.0833573775182,214.967767363
48,645.042687307,227,1.06729693237,138.937889822
2,57.2135113829,221,3.26390405584,30.5152855492
10,162.916084215,194,9.39531420532,160.933227154
12,173.448271687,194,0.114513286928,98.1164321959
12,212.13720636,216,0.112625916472,113.40134736
8,182.099041051,225,1.02078697913,58.191710702
12,310.575464981,194,0.0664446591064,40.289063565
4,56.6033811013,221,0.291308608378,319.664541464
8,89.9649422725,225,0.298672156457,323.936233216
16,288.475721035,225,1.10402109476,113.866190631
12,232.908094983,166,0.0655747739767,65.2176133541
26,404.141440195,139,0.0231684698761,92.8605099131
16,186.136644824,225,1.49778694401,203.115171869
16,185.504897314,225,1.01534872368,187.880732162
5,74.9260008224,164,2.31872455659,102.134361983
16,240.047696183,225,0.707012459472,134.711725253
4,58.3641825692,221,0.978353632766,294.463907243
4,65.2589168596,221,0.131852279676,64.0886202353
16,236.731362726,225,8.78075316977,141.404478825
6,88.3608227775,194,1.88994722435,122.912556849
16,196.89358626,225,0.412583976483,184.521485556
5,81.3950879482,164,0.113061984143,128.601571374
8,118.957379761,198,0.0135903204447,184.177759974
5,81.5379347822,164,0.115240677879,153.487246838
6,87.1947427121,139,0.77664201384,255.09638869
24,337.718287979,70,0.271599680881,167.317248161
12,208.638176717,194,0.159301109125,111.94862025
2,45.1642741353,166,3.75044063285,42.8330650461
26,400.432355882,139,0.0357960624318,100.798018869
6,104.12956576,139,0.325,66.933
16,197.62779432,193,4.36693034018,148.060235626
22,418.16147679,217,0.0309311742954,131.563643103
9,115.024981442,181,0.0481293570979,174.571650387
9,107.074332033,181,0.0225618174437,195.428406155
2,65.8409187428,194,0.022764491842,41.3464283085
8,125.290754144,223,0.664419122146,288.168360516
9,198.513256932,189,0.189131186431,72.0081775311
9,245.729639126,189,0.251659754254,58.8975977843
6,128.235078778,194,0.197344573648,70.2846905741
26,437.240506288,204,0.000664007692238,91.6750655316
8,198.528083666,63,3.15522128669,59.583134177
2,46.8896865704,221,3.74908134232,64.8770714744
12,320.661554751,62,0.327840917519,54.6187693946
4,77.3201039222,221,0.000421530593019,76.3174464751
4,67.6841579948,221,0.877903966608,98.8092526748
12,234.526119206,62,0.620835527633,58.4165032504
6,102.384739547,139,9.1712388335,123.701145334
2,39.742499563,221,0.548240033338,102.787192456
2,35.2916294831,221,2.73804162736,137.281192817
2,47.1720071741,221,0.0189065619548,86.388139102
12,101.801260368,194,0.0100455413653,163.159846441
10,143.800412124,127,0.0274714649253,165.10967723
12,126.965129474,166,0.0635967511887,154.710986148
12,118.898173872,194,0.00345603502712,242.304358838
2,21.687729804,221,0.143774347033,206.582759461
6,62.4449362156,191,0.287065839527,108.47114407
12,179.348330974,140,0.115723638626,186.817992061
2,25.2104658267,221,1.39942942565,125.896576784
8,115.388802408,62,1.51784474325,214.868679024
13,113.718451815,191,5.65736741659,121.634688662
12,116.433695361,194,0.0122554092373,160.056870297
12,126.356840266,194,0.00574865533918,217.996689552
2,55.1955902461,221,0.598015022024,35.0244661788
3,79.4606706567,191,0.913144436618,37.5310387774
10,310.724680725,127,1.42770557929,30.3792817166
2,33.8181884725,221,0.0662770977979,165.681249553
4,109.09240477,221,0.0703659913683,43.3535896032
6,144.556260359,139,1.71260340657,37.3512082895
2,29.2022377,194,0.135613084271,300.187337173
4,82.7195103866,123,0.995860806567,72.6960402398
4,86.5537791887,51,0.166739668449,43.2387467595
8,125.968850293,139,0.604122627605,200.077213526
12,208.014645381,191,0.0905448823503,84.5044697073
4,48.5451306412,221,0.751763237584,146.85075593
12,243.969271355,216,0.146220962238,63.1475331377
